Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Régularité;Commentaires
2014-04;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;199;199;0;22;88.9;
2014-04;Atlantique;PARIS MONTPARNASSE;LE MANS;444;444;0;34;92.3;
2014-04;Sud-Est;LYON PART DIEU;MONTPELLIER;387;387;0;59;84.8;
2014-04;Atlantique;LYON PART DIEU;RENNES;30;30;0;0;100.0;
2014-04;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;470;470;0;33;93.0;
2014-04;Est;PARIS EST;METZ;296;296;0;14;95.3;
2014-04;Sud-Est;MONTPELLIER;PARIS LYON;357;357;0;31;91.3;
2014-04;Sud-Est;MULHOUSE VILLE;PARIS LYON;312;311;1;17;94.5;
2014-04;Sud-Est;PERPIGNAN;PARIS LYON;154;154;0;10;93.5;
2014-04;Sud-Est;PARIS LYON;PERPIGNAN;157;157;0;12;92.4;
2014-04;Atlantique;PARIS MONTPARNASSE;QUIMPER;144;144;0;3;97.9;
2014-04;Atlantique;PARIS MONTPARNASSE;ST MALO;51;51;0;1;98.0;
2014-04;Nord;PARIS NORD;ARRAS;331;330;1;16;95.2;
2014-05;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;431;431;0;65;84.9;
2014-05;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;209;209;0;28;86.6;
2014-05;Nord;DUNKERQUE;PARIS NORD;114;114;0;3;97.4;
2014-05;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;202;202;0;14;93.1;
2014-05;Atlantique;PARIS MONTPARNASSE;ANGERS SAINT LAUD;443;443;0;14;96.8;
2014-05;Nord;LILLE;LYON PART DIEU;217;217;0;12;94.5;
2014-05;Nord;LYON PART DIEU;LILLE;252;252;0;48;81.0;Agression d'un agent à Lyon le 2, dérangement d'installations à Marseille le 5 et à Valence le 16, incident caténaire à Lyon le 6, accident de personne à Upie le 11, à Valence le 21 et à Oignies le 26, heurt d'animal à Allan le 11 et à Bonlieu le 19. Nombreuses limitations de vitesse suite à des travaux, notamment à Cesseins, TGV Haute Picardie et Marseille.
2014-05;Nord;PARIS NORD;LILLE;620;619;1;52;91.6;
2014-05;Sud-Est;LYON PART DIEU;PARIS LYON;606;606;0;13;97.9;
2014-05;Atlantique;LYON PART DIEU;RENNES;30;30;0;4;86.7;La liaison a principalement subi des retards liés a des incidents au sud de Lyon qui ont désorganisé les circulations (heurt d'un animal le 19 vers Bonlieu, accident de personne et décontrôle d'aiguille les 16 et 21 vers Valence). Un autre accident de personne a eu lieu le 26 au Creusot. Sur le secteur Atlantique, le mois a été marqué par le heurt d'un chevreuil le 29 à Marcoussis et des problèmes d'Infrastructures (rail cassé le 23 et restitution tardive de travaux à Laval le 13 obligeant les trains à emprunter un autre itinéraire).
2014-05;Est;PARIS EST;METZ;300;300;0;15;95.0;
2014-05;Sud-Est;MONTPELLIER;PARIS LYON;360;360;0;31;91.4;
2014-05;Sud-Est;MULHOUSE VILLE;PARIS LYON;317;317;0;33;89.6;
2014-05;Sud-Est;PARIS LYON;MULHOUSE VILLE;304;304;0;36;88.2;
2014-05;Atlantique;PARIS MONTPARNASSE;POITIERS;510;510;0;30;94.1;
2014-05;Atlantique;PARIS MONTPARNASSE;QUIMPER;152;152;0;5;96.7;
2014-05;Est;REIMS;PARIS EST;202;202;0;12;94.1;
2014-05;Est;PARIS EST;REIMS;213;213;0;15;93.0;
2014-05;Atlantique;RENNES;PARIS MONTPARNASSE;557;557;0;36;93.5;
2014-05;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;452;452;0;33;92.7;
2014-05;Est;PARIS EST;STRASBOURG;430;430;0;30;93.0;
2014-05;Atlantique;TOURS;PARIS MONTPARNASSE;203;203;0;22;89.2;
2014-05;Atlantique;PARIS MONTPARNASSE;TOURS;153;153;0;9;94.1;
2014-05;Sud-Est;VALENCE ALIXAN TGV;PARIS LYON;275;275;0;24;91.3;
2014-05;Nord;ARRAS;PARIS NORD;333;333;0;25;92.5;
2014-05;Sud-Est;PARIS LYON;AVIGNON TGV;526;526;0;37;93.0;
2014-05;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;567;566;1;35;93.8;
2014-06;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;185;168;17;31;81.5;
2014-06;Nord;DUNKERQUE;PARIS NORD;99;76;23;2;97.4;
2014-06;Sud-Est;GRENOBLE;PARIS LYON;215;183;32;19;89.6;La circulation des TGV a été fortement perturbée par le mouvement social du 11 au 22 juin.
2014-06;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;216;184;32;21;88.6;
2014-06;Nord;LILLE;PARIS NORD;587;527;60;69;86.9;
2014-06;Sud-Est;LYON PART DIEU;PARIS LYON;582;520;62;62;88.1;
2014-06;Atlantique;LYON PART DIEU;RENNES;32;23;9;3;87.0;
2014-06;Sud-Est;PARIS LYON;MACON LOCHE;177;147;30;10;93.2;
2014-06;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;428;381;47;33;91.3;
2014-06;Est;METZ;PARIS EST;285;257;28;22;91.4;
2014-06;Est;PARIS EST;METZ;294;262;32;14;94.7;
2014-06;Sud-Est;MONTPELLIER;PARIS LYON;326;293;33;54;81.6;La circulation des TGV a été fortement perturbée par le mouvement social du 11 au 22 juin.
2014-06;Sud-Est;MULHOUSE VILLE;PARIS LYON;290;259;31;39;84.9;
2014-06;Sud-Est;NICE VILLE;PARIS LYON;193;162;31;38;76.5;La circulation des TGV a été fortement perturbée par le mouvement social du 11 au 22 juin.
2014-06;Sud-Est;ANNECY;PARIS LYON;126;113;13;11;90.3;
2014-06;Atlantique;ST MALO;PARIS MONTPARNASSE;84;79;5;5;93.7;
2014-06;Sud-Est;PARIS LYON;TOULON;192;171;21;48;71.9;La circulation des TGV a été fortement perturbée par le mouvement social du 11 au 22 juin.
2014-06;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;241;211;30;22;89.6;
2014-06;Sud-Est;BELLEGARDE (AIN);PARIS LYON;221;199;22;25;87.4;
2014-07;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;177;177;0;35;80.2;
2014-07;Nord;DOUAI;PARIS NORD;189;189;0;14;92.6;
2014-07;Atlantique;LA ROCHELLE VILLE;PARIS MONTPARNASSE;226;226;0;15;93.4;
2014-07;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;224;224;0;13;94.2;
2014-07;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;439;439;0;35;92.0;
2014-07;Sud-Est;MACON LOCHE;PARIS LYON;189;189;0;29;84.7;
2014-07;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;488;488;0;34;93.0;
2014-07;Est;METZ;PARIS EST;299;299;0;27;91.0;
2014-07;Est;PARIS EST;NANCY;295;295;0;17;94.2;
2014-07;Sud-Est;PARIS LYON;NICE VILLE;255;255;0;42;83.5;Plusieurs incidents ont pertubé la circulation des TGV et provoqué des retards importants sur cette liaison : heurt de personnes le 6, le 13, le 29, dérangements d'installations suite à des orages le 6, le 20, le 25.
2014-07;Sud-Est;PERPIGNAN;PARIS LYON;200;200;0;30;85.0;Plusieurs incidents ont pertubé la circulation des TGV et provoqué des retards importants sur cette relation (heurt de personnes le 18, le 30, dérangements d'installations suite à des orages le 6, 20 et 25, heurt d'animaux le 23, acte de malveillance le 21).
2014-07;Atlantique;POITIERS;PARIS MONTPARNASSE;500;500;0;45;91.0;
2014-07;Sud-Est;ANNECY;PARIS LYON;117;117;0;10;91.5;
2014-07;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;443;443;0;38;91.4;
2014-07;Atlantique;TOURS;PARIS MONTPARNASSE;197;197;0;16;91.9;
2014-07;Sud-Est;AVIGNON TGV;PARIS LYON;536;536;0;94;82.5;
2014-07;Sud-Est;BELLEGARDE (AIN);PARIS LYON;172;172;0;18;89.5;
2014-07;Sud-Est;PARIS LYON;BELLEGARDE (AIN);163;163;0;21;87.1;
2014-07;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;207;207;0;12;94.2;
2012-07;Atlantique;BREST;PARIS MONTPARNASSE;176;176;0;8;95.5;
2012-07;Sud-Est;PARIS LYON;DIJON VILLE;453;453;0;26;94.3;
2012-07;Nord;DOUAI;PARIS NORD;189;189;0;13;93.1;
2012-07;Nord;PARIS NORD;DUNKERQUE;164;164;0;6;96.3;
2012-07;Sud-Est;GRENOBLE;PARIS LYON;212;212;0;6;97.2;
2012-07;Atlantique;LE MANS;PARIS MONTPARNASSE;481;481;0;36;92.5;
2012-07;Atlantique;PARIS MONTPARNASSE;LE MANS;436;436;0;44;89.9;Le 1er juillet, des problèmes sur le matériel roulant (difficulté pour accrocher deux rames ensemble) imposent de demander aux clients de changer de train pour effectuer le voyage. Avant le départ, un voyageur est pris d'un malaise et nécessite l'intervention des pompiers. Le TGV 8933 partira de Paris Montparnasse avec 115 minutes de retard.
2012-07;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;450;450;0;17;96.2;
2012-07;Atlantique;PARIS MONTPARNASSE;ANGERS SAINT LAUD;394;394;0;22;94.4;
2012-07;Nord;LYON PART DIEU;LILLE;281;281;0;55;80.4;Liaison touchée par un acte de malveillance (câbles coupés) entre Paris et Lyon les 25 et 26 juillet et un dérangement d'installations dans le Nord suite à orage le 27 juillet.
2012-07;Nord;PARIS NORD;LILLE;564;564;0;47;91.7;
2012-07;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;596;596;0;109;81.7;
2012-07;Sud-Est;MONTPELLIER;LYON PART DIEU;368;368;0;68;81.5;
2012-07;Est;METZ;PARIS EST;302;302;0;26;91.4;
2012-07;Est;NANCY;PARIS EST;292;292;0;12;95.9;
2012-07;Est;NANTES;STRASBOURG;52;52;0;6;88.5;
2012-07;Sud-Est;PARIS LYON;NICE VILLE;226;226;0;54;76.1;D'importantes phases de travaux d'amélioration de l'infrastructure sur le tronçon Nice Marseille nécessitent la mise en place de limitations de vitesse qui réduisent la fluidité des circulations.
2012-07;Sud-Est;PARIS LYON;PERPIGNAN;162;162;0;23;85.8;
2012-07;Sud-Est;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;117;117;0;8;93.2;
2012-07;Atlantique;ST PIERRE DES CORPS;PARIS MONTPARNASSE;445;445;0;49;89.0;Le 5 juillet, le train 810900 subit une panne et gène la circulation des trains qui le suivent. Le TGV 8300 arrive à Paris Montparnasse avec 30 minutes de retard.
2012-07;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;150;150;0;16;89.3;Le 6 juillet, le TGV 8501 subit une panne lors de son passage sur la ligne à grande vitesse. Il doit s'arrêter et ne pourra repartir qu'avec une vitesse fortement réduite (160km/h maximum). À Tours. échange de rame pour reprendre une circulation normale jusqu'à la fin du parcours. Le TGV 8501 arrive à son terminus avec 78 minutes de retard.
2012-07;Atlantique;PARIS MONTPARNASSE;TOURS;187;187;0;21;88.8;Le 11 juillet, le TGV 8350 heurte un chevreuil près de Rouvray (28). Le TGV 8367 qui le suivait est retardé de 20 minutes.
2012-07;Nord;PARIS NORD;ARRAS;352;352;0;12;96.6;
2012-07;Sud-Est;AVIGNON TGV;PARIS LYON;418;418;0;65;84.4;
2012-07;Sud-Est;PARIS LYON;BELLEGARDE (AIN);263;263;0;21;92.0;
2012-08;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;221;221;0;25;88.7;
2012-08;Sud-Est;DIJON VILLE;PARIS LYON;432;431;1;30;93.0;
2012-08;Nord;DOUAI;PARIS NORD;185;185;0;20;89.2;
2012-08;Sud-Est;GRENOBLE;PARIS LYON;200;200;0;17;91.5;
2012-08;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;227;227;0;10;95.6;
2012-08;Atlantique;LE MANS;PARIS MONTPARNASSE;469;468;1;38;91.9;
2012-08;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;599;599;0;105;82.5;
2012-08;Sud-Est;MONTPELLIER;LYON PART DIEU;367;367;0;53;85.6;
2012-08;Sud-Est;PARIS LYON;LYON PART DIEU;531;531;0;26;95.1;
2012-08;Atlantique;LYON PART DIEU;RENNES;31;31;0;2;93.5;
2012-08;Atlantique;RENNES;LYON PART DIEU;84;84;0;4;95.2;
2012-08;Sud-Est;NICE VILLE;PARIS LYON;239;239;0;51;78.7;D'importantes phases de travaux d'amélioration de l'infrastructure sur le tronçon Nice Marseille nécessitent la mise en place de limitations de vitesse qui réduisent la fluidité des circulations.
2012-08;Sud-Est;PARIS LYON;NICE VILLE;230;230;0;39;83.0;
2012-08;Atlantique;POITIERS;PARIS MONTPARNASSE;515;515;0;56;89.1;
2012-08;Atlantique;PARIS MONTPARNASSE;QUIMPER;190;190;0;12;93.7;
2012-08;Atlantique;RENNES;PARIS MONTPARNASSE;571;571;0;26;95.4;
2012-08;Atlantique;PARIS MONTPARNASSE;RENNES;560;560;0;21;96.3;
2012-08;Atlantique;PARIS MONTPARNASSE;ST MALO;63;63;0;0;100.0;
2012-08;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;460;460;0;18;96.1;
2012-08;Sud-Est;TOULON;PARIS LYON;299;299;0;46;84.6;
2012-08;Sud-Est;PARIS LYON;TOULON;254;254;0;29;88.6;
2012-08;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;150;150;0;9;94.0;
2012-08;Atlantique;PARIS MONTPARNASSE;VANNES;213;213;0;9;95.8;
2012-08;Sud-Est;AVIGNON TGV;PARIS LYON;421;421;0;57;86.5;
2012-08;Sud-Est;PARIS LYON;AVIGNON TGV;422;422;0;25;94.1;
2012-08;Sud-Est;BELLEGARDE (AIN);PARIS LYON;256;256;0;18;93.0;
2012-09;Sud-Est;PARIS LYON;DIJON VILLE;441;441;0;19;95.7;
2012-09;Nord;DOUAI;PARIS NORD;198;198;0;19;90.4;Circulation fortement dégradée le 3 septembre par un incident important qui s'est produit sur la ligne à grande vitesse au niveau de la gare d'Arras (incident touchant les installations caténaires avec de lourdes conséquences en termes de retard sur les trains).
2012-09;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;217;217;0;16;92.6;
2012-09;Sud-Est;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;208;208;0;20;90.4;
2012-09;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;200;200;0;80;60.0;Une zone de travaux de renouvellement de la voie fait perdre à l'ensemble des TGV environ 5 min juste avant leur arrivée au Creusot.
2012-09;Atlantique;LYON PART DIEU;RENNES;46;46;0;2;95.7;
2012-09;Est;NANCY;PARIS EST;288;288;0;16;94.4;
2012-09;Sud-Est;PARIS LYON;NIMES;336;336;0;28;91.7;
2012-09;Atlantique;PARIS MONTPARNASSE;QUIMPER;159;159;0;9;94.3;
2012-09;Atlantique;RENNES;PARIS MONTPARNASSE;558;558;0;45;91.9;
2012-09;Atlantique;ST MALO;PARIS MONTPARNASSE;99;99;0;0;100.0;
2012-09;Atlantique;PARIS MONTPARNASSE;ST MALO;54;54;0;3;94.4;
2012-09;Est;STRASBOURG;PARIS EST;461;459;2;66;85.6;
2012-09;Sud-Est;TOULON;PARIS LYON;267;267;0;34;87.3;
2012-09;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;132;132;0;10;92.4;
2012-09;Atlantique;PARIS MONTPARNASSE;TOURS;194;194;0;13;93.3;
2012-09;Sud-Est;VALENCE ALIXAN TGV;PARIS LYON;233;233;0;31;86.7;
2012-09;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;258;258;0;23;91.1;
2012-09;Nord;ARRAS;PARIS NORD;328;327;1;36;89.0;Circulation fortement dégradée le 3 septembre par un incident important qui s'est produit sur la ligne à grande vitesse au niveau de la gare d'Arras (incident touchant les installations caténaires avec de lourdes conséquences en termes de retard sur les trains).
2012-09;Sud-Est;AVIGNON TGV;PARIS LYON;367;367;0;41;88.8;
2012-09;Sud-Est;PARIS LYON;AVIGNON TGV;364;364;0;25;93.1;
2012-09;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;228;228;0;12;94.7;
2012-10;Sud-Est;PARIS LYON;AIX EN PROVENCE TGV;397;397;0;65;83.6;
2012-10;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;218;218;0;59;72.9;Des travaux vers Mâcon ont d'abord retardé de quelques minutes les TGV. Ces retards ont ensuite généré des difficultés de circulation sur la voie unique située avant l'arrivée à Chambéry.
2012-10;Atlantique;LA ROCHELLE VILLE;PARIS MONTPARNASSE;215;214;1;26;87.9;
2012-10;Atlantique;PARIS MONTPARNASSE;LE MANS;460;455;5;43;90.5;
2012-10;Nord;MARSEILLE ST CHARLES;LILLE;127;124;3;25;79.8;Les circulations ont subi malheureusement une recrudescence d’accident de personnes et une hausse du nombre de dérangements d’installations ferroviaires Les conditions météorologiques notamment dans le Sud-Est sur la fin du mois ont aggravé cette situation difficile.
2012-10;Nord;PARIS NORD;LILLE;644;634;10;76;88.0;
2012-10;Sud-Est;PARIS LYON;MACON LOCHE;182;179;3;9;95.0;
2012-10;Atlantique;ANGOULEME;PARIS MONTPARNASSE;345;342;3;77;77.5;Les travaux de raccordement de la ligne à grande vitesse Sud-Europe-Atlantique à la ligne classique entre Bordeaux et Tours ont pu engendrer des retards sur nos trains. Par ailleurs un nombre important d'événements ont eu un fort impact : erreur d'appréciation d'un riverain qui à cru observer un défaut de fermeture des barrières d'un passage à niveau lors du passage d'un train le 5, problème affectant la signalisation ferroviaire près de Massy (91) le 6, alerte à la bombe à Angoulême le 11, ranche tombée sur le fil d'alimentation électrique (caténaire) suite à mauvaise manipulation d'une entreprise d'élagage impliquant la nécessité de stopper la circulations des trains dans les deux sens le 23.
2012-10;Atlantique;PARIS MONTPARNASSE;ANGOULEME;333;330;3;25;92.4;
2012-10;Sud-Est;MONTPELLIER;PARIS LYON;371;366;5;37;89.9;
2012-10;Sud-Est;MULHOUSE VILLE;PARIS LYON;313;311;2;33;89.4;
2012-10;Atlantique;NANTES;PARIS MONTPARNASSE;603;597;6;26;95.6;
2012-10;Est;STRASBOURG;NANTES;62;61;1;8;86.9;
2012-10;Atlantique;PARIS MONTPARNASSE;POITIERS;467;463;4;20;95.7;
2012-10;Est;REIMS;PARIS EST;241;240;1;17;92.9;
2012-10;Sud-Est;TOULON;PARIS LYON;265;261;4;32;87.7;
2012-10;Atlantique;TOULOUSE MATABIAU;PARIS MONTPARNASSE;99;98;1;19;80.6;
2012-10;Atlantique;PARIS MONTPARNASSE;TOURS;212;210;2;20;90.5;
2012-11;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;400;400;0;66;83.5;
2012-11;Sud-Est;LYON PART DIEU;MONTPELLIER;362;362;0;82;77.3;Fragilité de cette liaison liée à la longueur du parcours des trains assurant cette desserte.
2012-11;Atlantique;LYON PART DIEU;RENNES;30;30;0;3;90.0;
2012-11;Atlantique;PARIS MONTPARNASSE;NANTES;556;556;0;48;91.4;
2012-11;Est;NANTES;STRASBOURG;57;57;0;7;87.7;
2012-11;Est;STRASBOURG;NANTES;57;57;0;10;82.5;Régularité des trains fortement perturbée par la réduction de la vitesse des TGV en aval d'Angers suite à l'affaisement de la voie causée par des intempéries.
2012-11;Sud-Est;PARIS LYON;ANNECY;199;199;0;23;88.4;
2012-11;Est;PARIS EST;REIMS;243;243;0;17;93.0;
2012-11;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;115;115;0;20;82.6;
2014-03;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;391;391;0;49;87.5;
2014-03;Nord;DOUAI;PARIS NORD;201;201;0;24;88.1;
2014-03;Sud-Est;GRENOBLE;PARIS LYON;249;249;0;16;93.6;
2014-03;Atlantique;LE MANS;PARIS MONTPARNASSE;458;458;0;36;92.1;
2014-03;Atlantique;PARIS MONTPARNASSE;LE MANS;449;449;0;31;93.1;
2014-03;Atlantique;LYON PART DIEU;RENNES;31;31;0;2;93.5;
2014-03;Atlantique;RENNES;LYON PART DIEU;61;61;0;4;93.4;
2014-03;Sud-Est;PARIS LYON;MACON LOCHE;222;222;0;5;97.7;
2014-03;Est;METZ;PARIS EST;299;299;0;9;97.0;
2014-03;Est;PARIS EST;NANCY;294;294;0;7;97.6;
2014-03;Est;STRASBOURG;NANTES;41;41;0;4;90.2;
2014-03;Sud-Est;PARIS LYON;NIMES;326;326;0;28;91.4;
2014-03;Atlantique;POITIERS;PARIS MONTPARNASSE;494;494;0;28;94.3;
2014-03;Atlantique;PARIS MONTPARNASSE;POITIERS;508;508;0;31;93.9;
2014-03;Est;REIMS;PARIS EST;211;211;0;9;95.7;
2014-03;Est;PARIS EST;REIMS;216;216;0;9;95.8;
2014-03;Atlantique;PARIS MONTPARNASSE;RENNES;559;559;0;19;96.6;
2014-03;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;6;6;0;0;100.0;
2014-03;Atlantique;PARIS MONTPARNASSE;ST MALO;55;55;0;2;96.4;
2014-03;Atlantique;ST PIERRE DES CORPS;PARIS MONTPARNASSE;431;431;0;68;84.2;
2014-03;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;459;459;0;27;94.1;
2014-03;Est;PARIS EST;STRASBOURG;445;445;0;24;94.6;
2014-03;Sud-Est;TOULON;PARIS LYON;238;238;0;33;86.1;Des incidents d'origine externe (accidents de personnes, heurts d'animaux, incendie dans un tunnel) ont provoqué des retards importants sur cette relation en mars.
2014-03;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;153;153;0;19;87.6;Le 10 : le 8513 heurte des panneaux de signalisation routière posés sur la voie ce qui le retarde de 84 minutes. Le 13 : la panne d'un train de Fret près de Mouthiers entraîne le retard du 8513 de 84 minutes. Le 23 : un incident (présence d'un nid de Pie) affectant la caténaire en gare de Massy TGV à fortement perturbé la circulation des trains et notamment des 8511, 8513 et 8505 arrivés à destination avec respectivement 106, 51 et 43 minutes de retard. Le 29 : un accident de personne en gare de St Jory (personne traversant les voies) a engendré le retard du TGV 8501 de 87 minutes.
2014-03;Atlantique;PARIS MONTPARNASSE;TOURS;150;150;0;10;93.3;
2014-03;Atlantique;VANNES;PARIS MONTPARNASSE;160;160;0;8;95.0;
2014-03;Sud-Est;BESANCON FRANCHE COMTE TGV;PARIS LYON;226;226;0;12;94.7;
2014-03;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;218;218;0;7;96.8;
2014-04;Nord;PARIS NORD;DOUAI;188;188;0;15;92.0;
2014-04;Atlantique;LA ROCHELLE VILLE;PARIS MONTPARNASSE;220;220;0;6;97.3;
2014-04;Nord;LILLE;MARSEILLE ST CHARLES;120;120;0;10;91.7;
2014-04;Nord;LILLE;PARIS NORD;605;603;2;62;89.7;
2014-04;Sud-Est;LYON PART DIEU;PARIS LYON;603;603;0;3;99.5;
2014-04;Est;NANCY;PARIS EST;285;285;0;17;94.0;
2014-04;Est;STRASBOURG;NANTES;56;56;0;2;96.4;
2014-04;Sud-Est;PARIS LYON;NIMES;347;347;0;42;87.9;
2014-04;Atlantique;QUIMPER;PARIS MONTPARNASSE;146;146;0;2;98.6;
2014-04;Sud-Est;ANNECY;PARIS LYON;136;136;0;9;93.4;
2014-04;Atlantique;RENNES;PARIS MONTPARNASSE;561;560;1;22;96.1;
2014-04;Atlantique;PARIS MONTPARNASSE;RENNES;549;549;0;14;97.4;
2014-04;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;5;5;0;0;100.0;
2014-04;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;148;148;0;12;91.9;
2014-04;Sud-Est;VALENCE ALIXAN TGV;PARIS LYON;271;271;0;37;86.3;
2014-04;Atlantique;VANNES;PARIS MONTPARNASSE;155;155;0;3;98.1;
2014-04;Sud-Est;PARIS LYON;AVIGNON TGV;511;511;0;43;91.6;
2014-04;Sud-Est;BESANCON FRANCHE COMTE TGV;PARIS LYON;231;230;1;10;95.7;
2014-04;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;642;642;0;35;94.5;
2014-05;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;201;201;0;23;88.6;
2014-05;Sud-Est;DIJON VILLE;PARIS LYON;466;466;0;40;91.4;
2014-05;Nord;PARIS NORD;DOUAI;194;194;0;32;83.5;
2014-05;Atlantique;PARIS MONTPARNASSE;LAVAL;230;230;0;6;97.4;
2014-05;Sud-Est;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;218;218;0;14;93.6;
2014-05;Nord;LILLE;MARSEILLE ST CHARLES;124;124;0;23;81.5;
2014-05;Nord;LILLE;PARIS NORD;609;609;0;62;89.8;
2014-05;Sud-Est;MACON LOCHE;PARIS LYON;192;192;0;13;93.2;
2014-05;Sud-Est;PARIS LYON;MACON LOCHE;218;218;0;2;99.1;
2014-05;Sud-Est;PARIS LYON;NIMES;351;351;0;34;90.3;
